Month,Trend
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,46
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,28
2006-03,0
2006-04,53
2006-05,43
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,18
2007-03,17
2007-04,17
2007-05,30
2007-06,15
2007-07,19
2007-08,18
2007-09,21
2007-10,0
2007-11,19
2007-12,30
2008-01,13
2008-02,44
2008-03,27
2008-04,24
2008-05,28
2008-06,0
2008-07,21
2008-08,18
2008-09,14
2008-10,16
2008-11,21
2008-12,21
2009-01,10
2009-02,18
2009-03,0
2009-04,26
2009-05,14
2009-06,11
2009-07,18
2009-08,0
2009-09,13
2009-10,19
2009-11,13
2009-12,10
2010-01,9
2010-02,11
2010-03,14
2010-04,32
2010-05,49
2010-06,21
2010-07,17
2010-08,12
2010-09,20
2010-10,16
2010-11,13
2010-12,13
2011-01,14
2011-02,12
2011-03,13
2011-04,12
2011-05,9
2011-06,13
2011-07,10
2011-08,11
2011-09,10
2011-10,16
2011-11,14
2011-12,12
2012-01,11
2012-02,13
2012-03,8
2012-04,15
2012-05,10
2012-06,10
2012-07,7
2012-08,10
2012-09,5
2012-10,8
2012-11,12
2012-12,8
2013-01,10
2013-02,9
2013-03,12
2013-04,12
2013-05,11
2013-06,6
2013-07,7
2013-08,8
2013-09,11
2013-10,10
2013-11,10
2013-12,8
2014-01,8
2014-02,9
2014-03,11
2014-04,13
2014-05,18
2014-06,9
2014-07,13
2014-08,12
2014-09,12
2014-10,13
2014-11,9
2014-12,13
2015-01,10
2015-02,11
2015-03,11
2015-04,12
2015-05,9
2015-06,11
2015-07,72
2015-08,33
2015-09,25
2015-10,26
2015-11,28
2015-12,15
2016-01,21
2016-02,20
2016-03,31
2016-04,22
2016-05,24
2016-06,24
2016-07,28
2016-08,14
2016-09,28
2016-10,28
2016-11,46
2016-12,21
2017-01,60
2017-02,100
2017-03,84
2017-04,34
2017-05,26
2017-06,18
2017-07,18
2017-08,12
2017-09,21
2017-10,23
2017-11,24
2017-12,46
2018-01,39
2018-02,43
2018-03,28
2018-04,30
2018-05,23
2018-06,76
2018-07,35
2018-08,73
2018-09,21
2018-10,34
2018-11,46
2018-12,40
2019-01,89
2019-02,52
2019-03,31
2019-04,26
2019-05,26
2019-06,22
2019-07,27
2019-08,23
