Month,Trend
2004-01,0
2004-02,0
2004-03,0
2004-04,80
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,55
2005-05,47
2005-06,0
2005-07,0
2005-08,0
2005-09,47
2005-10,39
2005-11,0
2005-12,40
2006-01,0
2006-02,0
2006-03,41
2006-04,88
2006-05,86
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,57
2006-11,47
2006-12,31
2007-01,0
2007-02,25
2007-03,26
2007-04,65
2007-05,35
2007-06,39
2007-07,24
2007-08,22
2007-09,38
2007-10,52
2007-11,45
2007-12,39
2008-01,0
2008-02,50
2008-03,28
2008-04,32
2008-05,37
2008-06,24
2008-07,23
2008-08,23
2008-09,23
2008-10,33
2008-11,34
2008-12,0
2009-01,24
2009-02,42
2009-03,38
2009-04,40
2009-05,26
2009-06,23
2009-07,30
2009-08,17
2009-09,21
2009-10,28
2009-11,31
2009-12,24
2010-01,23
2010-02,23
2010-03,29
2010-04,38
2010-05,50
2010-06,30
2010-07,18
2010-08,15
2010-09,17
2010-10,28
2010-11,28
2010-12,27
2011-01,29
2011-02,24
2011-03,28
2011-04,28
2011-05,25
2011-06,27
2011-07,20
2011-08,22
2011-09,25
2011-10,25
2011-11,35
2011-12,18
2012-01,24
2012-02,36
2012-03,25
2012-04,29
2012-05,25
2012-06,22
2012-07,20
2012-08,14
2012-09,19
2012-10,29
2012-11,30
2012-12,24
2013-01,18
2013-02,27
2013-03,27
2013-04,32
2013-05,28
2013-06,19
2013-07,13
2013-08,15
2013-09,21
2013-10,29
2013-11,24
2013-12,22
2014-01,21
2014-02,21
2014-03,26
2014-04,26
2014-05,24
2014-06,23
2014-07,29
2014-08,23
2014-09,29
2014-10,30
2014-11,32
2014-12,24
2015-01,20
2015-02,21
2015-03,27
2015-04,24
2015-05,18
2015-06,16
2015-07,22
2015-08,31
2015-09,47
2015-10,36
2015-11,34
2015-12,30
2016-01,27
2016-02,36
2016-03,36
2016-04,35
2016-05,38
2016-06,25
2016-07,21
2016-08,25
2016-09,33
2016-10,35
2016-11,51
2016-12,26
2017-01,48
2017-02,100
2017-03,50
2017-04,38
2017-05,35
2017-06,29
2017-07,25
2017-08,29
2017-09,44
2017-10,28
2017-11,35
2017-12,26
2018-01,52
2018-02,47
2018-03,45
2018-04,36
2018-05,30
2018-06,83
2018-07,44
2018-08,43
2018-09,35
2018-10,52
2018-11,64
2018-12,70
2019-01,86
2019-02,55
2019-03,35
2019-04,39
2019-05,38
2019-06,45
2019-07,45
2019-08,42
