Category: All categories

Month,report immigrant + report immigration + report illegals + report illegal alien + report to ice: (United States),immigrant crime + immigrant criminal + immigrant murder + immigrant kill: (United States),immigrant welfare + immigrant cost + immigrant benefits: (United States)
2004-01,0,0,0
2004-02,36,0,0
2004-03,0,0,0
2004-04,48,0,34
2004-05,66,0,0
2004-06,35,0,0
2004-07,53,0,0
2004-08,37,0,0
2004-09,48,0,0
2004-10,39,0,0
2004-11,50,0,0
2004-12,41,0,0
2005-01,39,0,0
2005-02,50,0,0
2005-03,51,0,0
2005-04,34,27,23
2005-05,53,0,20
2005-06,36,0,0
2005-07,44,0,0
2005-08,34,0,0
2005-09,56,0,20
2005-10,37,0,17
2005-11,41,0,0
2005-12,45,0,17
2006-01,36,0,0
2006-02,53,16,0
2006-03,51,0,17
2006-04,65,31,37
2006-05,77,25,37
2006-06,49,0,0
2006-07,49,0,0
2006-08,43,0,0
2006-09,46,0,0
2006-10,44,0,24
2006-11,41,0,20
2006-12,53,0,13
2007-01,42,0,0
2007-02,48,11,11
2007-03,49,10,11
2007-04,49,10,28
2007-05,55,18,15
2007-06,78,9,17
2007-07,55,11,10
2007-08,51,10,9
2007-09,53,12,16
2007-10,43,0,22
2007-11,65,11,19
2007-12,54,17,17
2008-01,46,7,0
2008-02,50,25,21
2008-03,49,16,12
2008-04,56,14,14
2008-05,52,16,16
2008-06,50,0,10
2008-07,40,12,10
2008-08,46,10,10
2008-09,45,8,10
2008-10,53,9,14
2008-11,39,12,15
2008-12,38,12,0
2009-01,36,6,10
2009-02,53,10,18
2009-03,38,0,16
2009-04,53,15,17
2009-05,43,8,11
2009-06,39,6,10
2009-07,43,10,13
2009-08,43,0,7
2009-09,39,7,9
2009-10,41,11,12
2009-11,46,8,13
2009-12,34,6,10
2010-01,44,5,10
2010-02,43,7,10
2010-03,50,8,12
2010-04,56,18,16
2010-05,69,28,22
2010-06,48,12,13
2010-07,55,10,8
2010-08,48,7,6
2010-09,48,12,7
2010-10,41,9,12
2010-11,47,8,12
2010-12,39,8,11
2011-01,56,8,13
2011-02,51,7,10
2011-03,53,8,12
2011-04,49,7,12
2011-05,50,5,11
2011-06,49,8,11
2011-07,51,6,8
2011-08,53,6,9
2011-09,47,6,11
2011-10,51,9,11
2011-11,52,8,15
2011-12,45,7,8
2012-01,51,6,10
2012-02,46,8,15
2012-03,44,5,11
2012-04,44,9,12
2012-05,55,6,11
2012-06,46,6,9
2012-07,47,4,8
2012-08,37,6,6
2012-09,42,3,8
2012-10,44,5,13
2012-11,39,7,13
2012-12,42,5,10
2013-01,47,6,8
2013-02,43,5,11
2013-03,39,7,12
2013-04,46,7,14
2013-05,48,7,12
2013-06,47,4,8
2013-07,40,4,6
2013-08,40,4,6
2013-09,35,6,9
2013-10,38,6,12
2013-11,33,6,10
2013-12,39,4,9
2014-01,44,5,9
2014-02,45,5,9
2014-03,47,7,11
2014-04,41,8,11
2014-05,37,11,10
2014-06,38,5,10
2014-07,55,7,13
2014-08,40,7,10
2014-09,41,7,12
2014-10,38,8,13
2014-11,47,6,14
2014-12,37,8,10
2015-01,38,6,8
2015-02,42,6,9
2015-03,35,7,12
2015-04,37,7,10
2015-05,30,6,8
2015-06,33,7,7
2015-07,39,42,9
2015-08,40,19,13
2015-09,36,15,20
2015-10,36,15,16
2015-11,38,16,14
2015-12,41,9,13
2016-01,47,12,12
2016-02,39,12,15
2016-03,38,18,16
2016-04,41,13,15
2016-05,42,14,16
2016-06,40,14,11
2016-07,35,16,9
2016-08,34,8,11
2016-09,39,17,14
2016-10,34,16,15
2016-11,45,27,22
2016-12,40,12,11
2017-01,61,35,21
2017-02,100,58,43
2017-03,73,49,21
2017-04,58,20,16
2017-05,54,15,15
2017-06,53,10,12
2017-07,45,10,11
2017-08,48,7,12
2017-09,45,12,19
2017-10,46,13,12
2017-11,45,14,15
2017-12,46,27,11
2018-01,67,23,22
2018-02,57,25,20
2018-03,51,16,19
2018-04,53,17,15
2018-05,51,13,13
2018-06,83,44,36
2018-07,55,20,19
2018-08,59,43,19
2018-09,49,12,15
2018-10,49,20,22
2018-11,51,27,28
2018-12,64,23,30
2019-01,90,52,37
2019-02,69,30,23
2019-03,50,18,15
2019-04,55,15,17
2019-05,49,15,16
2019-06,56,13,19
2019-07,65,16,19
2019-08,52,13,18
2019-09,48,11,14
2019-10,44,10,15
2019-11,40,12,13
2019-12,44,10,12
2020-01,45,10,12
2020-02,44,14,16
2020-03,36,9,10
2020-04,33,7,13
2020-05,35,10,11
2020-06,33,7,9
2020-07,37,6,10
2020-08,32,6,9
2020-09,33,8,10
2020-10,36,11,11
2020-11,30,8,10
2020-12,35,6,8
2021-01,39,6,11
2021-02,39,7,10
2021-03,36,9,15
2021-04,32,9,14
2021-05,31,8,11
2021-06,28,6,9
